Diet	Chick	Time	weight
1	1	0	42
1	1	2	51
1	1	4	59
1	1	6	64
1	1	8	76
1	1	10	93
1	1	12	106
1	1	14	125
1	1	16	149
1	1	18	171
1	1	20	199
1	1	21	205
1	2	0	40
1	2	2	49
1	2	4	58
1	2	6	72
1	2	8	84
1	2	10	103
1	2	12	122
1	2	14	138
1	2	16	162
1	2	18	187
1	2	20	209
1	2	21	215
1	3	0	43
1	3	2	39
1	3	4	55
1	3	6	67
1	3	8	84
1	3	10	99
1	3	12	115
1	3	14	138
1	3	16	163
1	3	18	187
1	3	20	198
1	3	21	202
1	4	0	42
1	4	2	49
1	4	4	56
1	4	6	67
1	4	8	74
1	4	10	87
1	4	12	102
1	4	14	108
1	4	16	136
1	4	18	154
1	4	20	160
1	4	21	157
1	5	0	41
1	5	2	42
1	5	4	48
1	5	6	60
1	5	8	79
1	5	10	106
1	5	12	141
1	5	14	164
1	5	16	197
1	5	18	199
1	5	20	220
1	5	21	223
1	6	0	41
1	6	2	49
1	6	4	59
1	6	6	74
1	6	8	97
1	6	10	124
1	6	12	141
1	6	14	148
1	6	16	155
1	6	18	160
1	6	20	160
1	6	21	157
1	7	0	41
1	7	2	49
1	7	4	57
1	7	6	71
1	7	8	89
1	7	10	112
1	7	12	146
1	7	14	174
1	7	16	218
1	7	18	250
1	7	20	288
1	7	21	305
1	8	0	42
1	8	2	50
1	8	4	61
1	8	6	71
1	8	8	84
1	8	10	93
1	8	12	110
1	8	14	116
1	8	16	126
1	8	18	134
1	8	20	125
1	9	0	42
1	9	2	51
1	9	4	59
1	9	6	68
1	9	8	85
1	9	10	96
1	9	12	90
1	9	14	92
1	9	16	93
1	9	18	100
1	9	20	100
1	9	21	98
1	10	0	41
1	10	2	44
1	10	4	52
1	10	6	63
1	10	8	74
1	10	10	81
1	10	12	89
1	10	14	96
1	10	16	101
1	10	18	112
1	10	20	120
1	10	21	124
1	11	0	43
1	11	2	51
1	11	4	63
1	11	6	84
1	11	8	112
1	11	10	139
1	11	12	168
1	11	14	177
1	11	16	182
1	11	18	184
1	11	20	181
1	11	21	175
1	12	0	41
1	12	2	49
1	12	4	56
1	12	6	62
1	12	8	72
1	12	10	88
1	12	12	119
1	12	14	135
1	12	16	162
1	12	18	185
1	12	20	195
1	12	21	205
1	13	0	41
1	13	2	48
1	13	4	53
1	13	6	60
1	13	8	65
1	13	10	67
1	13	12	71
1	13	14	70
1	13	16	71
1	13	18	81
1	13	20	91
1	13	21	96
1	14	0	41
1	14	2	49
1	14	4	62
1	14	6	79
1	14	8	101
1	14	10	128
1	14	12	164
1	14	14	192
1	14	16	227
1	14	18	248
1	14	20	259
1	14	21	266
1	15	0	41
1	15	2	49
1	15	4	56
1	15	6	64
1	15	8	68
1	15	10	68
1	15	12	67
1	15	14	68
1	16	0	41
1	16	2	45
1	16	4	49
1	16	6	51
1	16	8	57
1	16	10	51
1	16	12	54
1	17	0	42
1	17	2	51
1	17	4	61
1	17	6	72
1	17	8	83
1	17	10	89
1	17	12	98
1	17	14	103
1	17	16	113
1	17	18	123
1	17	20	133
1	17	21	142
1	18	0	39
1	18	2	35
1	19	0	43
1	19	2	48
1	19	4	55
1	19	6	62
1	19	8	65
1	19	10	71
1	19	12	82
1	19	14	88
1	19	16	106
1	19	18	120
1	19	20	144
1	19	21	157
1	20	0	41
1	20	2	47
1	20	4	54
1	20	6	58
1	20	8	65
1	20	10	73
1	20	12	77
1	20	14	89
1	20	16	98
1	20	18	107
1	20	20	115
1	20	21	117
2	21	0	40
2	21	2	50
2	21	4	62
2	21	6	86
2	21	8	125
2	21	10	163
2	21	12	217
2	21	14	240
2	21	16	275
2	21	18	307
2	21	20	318
2	21	21	331
2	22	0	41
2	22	2	55
2	22	4	64
2	22	6	77
2	22	8	90
2	22	10	95
2	22	12	108
2	22	14	111
2	22	16	131
2	22	18	148
2	22	20	164
2	22	21	167
2	23	0	43
2	23	2	52
2	23	4	61
2	23	6	73
2	23	8	90
2	23	10	103
2	23	12	127
2	23	14	135
2	23	16	145
2	23	18	163
2	23	20	170
2	23	21	175
2	24	0	42
2	24	2	52
2	24	4	58
2	24	6	74
2	24	8	66
2	24	10	68
2	24	12	70
2	24	14	71
2	24	16	72
2	24	18	72
2	24	20	76
2	24	21	74
2	25	0	40
2	25	2	49
2	25	4	62
2	25	6	78
2	25	8	102
2	25	10	124
2	25	12	146
2	25	14	164
2	25	16	197
2	25	18	231
2	25	20	259
2	25	21	265
2	26	0	42
2	26	2	48
2	26	4	57
2	26	6	74
2	26	8	93
2	26	10	114
2	26	12	136
2	26	14	147
2	26	16	169
2	26	18	205
2	26	20	236
2	26	21	251
2	27	0	39
2	27	2	46
2	27	4	58
2	27	6	73
2	27	8	87
2	27	10	100
2	27	12	115
2	27	14	123
2	27	16	144
2	27	18	163
2	27	20	185
2	27	21	192
2	28	0	39
2	28	2	46
2	28	4	58
2	28	6	73
2	28	8	92
2	28	10	114
2	28	12	145
2	28	14	156
2	28	16	184
2	28	18	207
2	28	20	212
2	28	21	233
2	29	0	39
2	29	2	48
2	29	4	59
2	29	6	74
2	29	8	87
2	29	10	106
2	29	12	134
2	29	14	150
2	29	16	187
2	29	18	230
2	29	20	279
2	29	21	309
2	30	0	42
2	30	2	48
2	30	4	59
2	30	6	72
2	30	8	85
2	30	10	98
2	30	12	115
2	30	14	122
2	30	16	143
2	30	18	151
2	30	20	157
2	30	21	150
3	31	0	42
3	31	2	53
3	31	4	62
3	31	6	73
3	31	8	85
3	31	10	102
3	31	12	123
3	31	14	138
3	31	16	170
3	31	18	204
3	31	20	235
3	31	21	256
3	32	0	41
3	32	2	49
3	32	4	65
3	32	6	82
3	32	8	107
3	32	10	129
3	32	12	159
3	32	14	179
3	32	16	221
3	32	18	263
3	32	20	291
3	32	21	305
3	33	0	39
3	33	2	50
3	33	4	63
3	33	6	77
3	33	8	96
3	33	10	111
3	33	12	137
3	33	14	144
3	33	16	151
3	33	18	146
3	33	20	156
3	33	21	147
3	34	0	41
3	34	2	49
3	34	4	63
3	34	6	85
3	34	8	107
3	34	10	134
3	34	12	164
3	34	14	186
3	34	16	235
3	34	18	294
3	34	20	327
3	34	21	341
3	35	0	41
3	35	2	53
3	35	4	64
3	35	6	87
3	35	8	123
3	35	10	158
3	35	12	201
3	35	14	238
3	35	16	287
3	35	18	332
3	35	20	361
3	35	21	373
3	36	0	39
3	36	2	48
3	36	4	61
3	36	6	76
3	36	8	98
3	36	10	116
3	36	12	145
3	36	14	166
3	36	16	198
3	36	18	227
3	36	20	225
3	36	21	220
3	37	0	41
3	37	2	48
3	37	4	56
3	37	6	68
3	37	8	80
3	37	10	83
3	37	12	103
3	37	14	112
3	37	16	135
3	37	18	157
3	37	20	169
3	37	21	178
3	38	0	41
3	38	2	49
3	38	4	61
3	38	6	74
3	38	8	98
3	38	10	109
3	38	12	128
3	38	14	154
3	38	16	192
3	38	18	232
3	38	20	280
